,mol_id,smiles,pIC50
154,CHEMBL207687,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(=O)N,8.1
155,CHEMBL381080,CS(=O)(=O)CCC(=O)Nc1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.3
156,CHEMBL1094195,Cl.NCCc1cn(Cc2ccc(cc2)c3cccc(c3)C(F)(F)F)c4ccc(OCCc5ccc(O)cc5)cc14,5.96
157,CHEMBL377772,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@H]4CC(=O)N,6.77
158,CHEMBL380454,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CC[C@@H](C4)C(=O)N,7.1
159,CHEMBL1241391,CC(C)n1nc(c2cncnc2)c3c(N)ncnc13,4.0
160,CHEMBL1173193,COc1ccc(cc1)C2CC(=NN2C(=S)N)c3ccc(Br)c(Br)c3,5.09
161,CHEMBL1173455,Cc1ccc(cc1C)C2=NN(C(C2)c3ccc(F)cc3)C(=S)N,6.08
162,CHEMBL379041,Fc1ccc2Oc3ncnc(NCc4ccccc4)c3NCc2c1,5.05
163,CHEMBL121405,OC1(CCNCC1)c2oc(c3ccnc(NC4CCCCC4)c3)c(n2)c5ccc(F)cc5,5.7
164,CHEMBL205966,Nc1ccc(cc1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.52
165,CHEMBL208286,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(=O)N,7.52
166,CHEMBL379601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(=O)N,7.35
167,CHEMBL207674,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCOCC4C(=O)N,7.05
168,CHEMBL1080506,Cc1c([nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12)C(=O)NCCN5CCOCC5,4.9
169,CHEMBL1080990,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5.92
170,CHEMBL1080271,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,4.11
171,CHEMBL94123,Brc1cccc(Nc2ncnc3ccc(NC(=O)\C=C\N4CCOCC4)cc23)c1,6.67
172,CHEMBL1090357,CN(C)CCc1ccc(Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)c6c(F)cccc6F)c5)cc1,6.66
173,CHEMBL1241487,Nc1ccc(cc1O)c2nn(C3CCCC3)c4ncnc(N)c24,7.48
174,CHEMBL1241581,COc1cc(ccc1N)c2nn(C3CCCC3)c4ncnc(N)c24,7.08
175,CHEMBL1242848,CC(C)n1nc(c2ccc(N)c(O)c2)c3c(N)ncnc13,5.67
176,CHEMBL1242566,Nc1ncnc2c1c(nn2C3CCC3)c4ccc(F)c(O)c4,5.54
177,CHEMBL1241683,CC(C)n1nc(c2ccc3nc(Cl)ccc3c2)c4c(N)ncnc14,4.0
178,CHEMBL1241774,CC(C)n1nc(c2ccc3nccnc3c2)c4c(N)ncnc14,4.75
179,CHEMBL1173601,NC(=S)N1N=C(CC1c2ccccc2Br)c3ccc(Cl)c(Cl)c3,5.19
180,CHEMBL1173666,NC(=S)N1N=C(CC1c2ccc(cc2)[N+](=O)[O-])c3ccc(Cl)c(Cl)c3,5.11
181,CHEMBL1173813,Cc1ccc(cc1)C2CC(=NN2C(=S)N)c3ccc(C)c(C)c3,6.47
182,CHEMBL1241485,COc1cc(ccc1N)c2nn(C(C)C)c3ncnc(N)c23,5.42
183,CHEMBL1241588,CC(C)n1nc(c2ccc3OCCOc3c2)c4c(N)ncnc14,4.82
184,CHEMBL1242656,CC1CCC(C1)n2nc(c3ccc(F)c(O)c3)c4c(N)ncnc24,6.44
185,CHEMBL1241241,CC(C)n1nc(c2ccc(O)cc2)c3c(N)ncnc13,6.04
186,CHEMBL1242295,Nc1ncnc2c1c(nn2C3CCCC3)c4ccc5[nH]ccc5c4,6.13
187,CHEMBL1242381,COc1ccc(cc1OC)c2nn(C[C@@H](C)CO)c3ncnc(N)c23,4.75
188,CHEMBL1242659,CCOc1ccc(cc1OC)c2nn(C3CCCCC3)c4ncnc(N)c24,5.94
189,CHEMBL1241586,CC(C)n1nc(c2ccc3NC(=O)Nc3c2)c4c(N)ncnc14,6.03
190,CHEMBL1242757,CC(C)n1nc(c2cccc3[nH]ccc23)c4c(N)ncnc14,5.34
192,CHEMBL1243316,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNCC#C,7.22
193,CHEMBL1243345,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)CCF,7.64
194,CHEMBL1242376,Nc1ncnc2c1c(nn2C3CCCC3)c4ccc(Br)c(O)c4,6.63
195,CHEMBL1172781,OC[C@@H](Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)c5ccccc5,6.65
196,CHEMBL590083,CCCCNC(=O)c1ccc(cc1)N(CCCl)CCCl,4.64
197,CHEMBL1242198,CC(C)n1nc(c2cc(O)cc(F)c2)c3c(N)ncnc13,6.24
198,CHEMBL1243346,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\c4cn(CCF)nn4,8.39
199,CHEMBL1241579,C[C@H](CN)n1nc(c2ccc(Cl)c(O)c2)c3c(N)ncnc13,5.32
200,CHEMBL1242288,COc1ccc(cc1O)c2nn([C@@H]3CCNC3)c4ncnc(N)c24,4.9
201,CHEMBL1242662,CC(C)n1nc(c2ccc3cc(O)ccc3c2)c4c(N)ncnc14,7.06
202,CHEMBL1242469,Nc1ncnc2c1c(nn2CCCC#N)c3ccc(F)c(O)c3,4.75
203,CHEMBL601040,Cc1ccc(NC(=O)c2ccc(cc2)N(CCCl)CCCl)cc1,6.24
204,CHEMBL604672,ClCCN(CCCl)c1ccc(cc1)C(=O)Nc2ccccc2Br,5.11
205,CHEMBL602645,CCCN(CCC)C(=O)c1ccc(cc1)N(CCCl)CCCl,4.53
206,CHEMBL1241483,COc1cc(ccc1F)c2nn(C(C)C)c3ncnc(N)c23,5.41
207,CHEMBL604914,Brc1cccc(Nc2ncnc3ccc(NC(=O)COc4ccccc4)cc23)c1,6.54
208,CHEMBL597950,Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC=C=C,7.62
209,CHEMBL589259,CC(C)(C)NC(=O)c1ccc(cc1)N(CCCl)CCCl,4.5
210,CHEMBL597303,CCCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.2
211,CHEMBL592153,CCCCCCCCCCCCCCCCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.87
212,CHEMBL603968,CCCCCCCCOC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.23
213,CHEMBL599728,CCCCCCCCCCOC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.51
214,CHEMBL605337,CCCCCCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,5.67
218,CHEMBL1242203,COc1ccc(cc1O)c2nn(C3CNC3)c4ncnc(N)c24,4.77
219,CHEMBL1241481,COc1cc(ccc1NC(=O)OC(C)(C)C)c2nn(C(C)C)c3ncnc(N)c23,6.77
220,CHEMBL1240565,Cn1nc(c2cnc3[nH]ccc3c2)c4c(N)ncnc14,4.82
221,CHEMBL1242470,Nc1ncnc2c1c(nn2CCCCC#N)c3ccc(F)c(O)c3,4.96
222,CHEMBL1242199,Nc1ncnc2c1c(nn2C3CCCC3)c4cc(O)cc(F)c4,6.12
223,CHEMBL1173191,NC(=S)N1N=C(CC1c2ccc(cc2)[N+](=O)[O-])c3ccc(Br)c(Br)c3,4.97
224,CHEMBL1173192,NC(=S)N1N=C(CC1c2ccc(O)cc2)c3ccc(Br)c(Br)c3,4.95
225,CHEMBL1242750,Nc1ncnc2c1c(nn2C3CCCCCC3)c4ccc(F)c(O)c4,6.11
226,CHEMBL427314,CCOc1cc2ncc(C#N)c(Nc3cccc(OCc4ccccc4)c3)c2cc1NC(=O)\C=C\CN(C)C,4.89
227,CHEMBL301018,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,8.05
228,CHEMBL444619,COc1cc(ON2CCC(C)CC2)c3c(Nc4ccc(OCc5ccccn5)c(Cl)c4)ncnc3c1,8.3
229,CHEMBL197640,CN1CCC(CC1)Oc2cccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23,8.3
230,CHEMBL376089,COc1cc2CNc3c(NCc4ccc(F)c(Cl)c4)ncnc3Nc2cc1OC,6.52
231,CHEMBL216048,COc1cc2CNc3c(Oc4cccc(Br)c4)ncnc3Oc2cc1OC,5.75
232,CHEMBL213007,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC4CCN(CC4)S(=O)(=O)C,9.0
233,CHEMBL422758,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC4CCN(C)CC4,6.52
234,CHEMBL1095464,Cc1ccccc1Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3[nH]2,5.04
235,CHEMBL1095465,COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3[nH]2)c1,4.9
236,CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(nc3[nH]cnc23)N4CCOCC4)cc1,5.0
237,CHEMBL149201,Cc1[nH]c(\C=C\2/C(=O)Nc3cc(ccc23)c4ccccc4)c(C)c1CCC(=O)O,4.66
