,mol_id,smiles,pIC50
79,CHEMBL256767,Fc1cc(NC(=S)NC(=O)Cc2ccccc2)ccc1Oc3ccnc4cc(sc34)c5ncccn5,6.7
80,CHEMBL561058,Oc1cnc2ccn(c2c1)S(=O)(=O)c3c(Cl)nc4sccn34,5.44
81,CHEMBL563080,Cc1cc(Cl)c2c(n1)N(CCc3ccccc3)CCc4c2[nH]c5ccccc45,4.91
82,CHEMBL564440,CC(C)(C)OC(=O)N1CCC(CC1)n2cc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5c(Cl)nc6sccn56,6.83
83,CHEMBL2385185,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(Cl)cc5Cl)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCCCC7,8.07
84,CHEMBL2385178,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(C)cc5)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCOCC7,8.12
85,CHEMBL2419646,COc1cc2c(Oc3ccc(NC(=O)N\N=C\C(C)C)cc3F)ccnc2cc1OCCCN4CCCCC4,6.03
86,CHEMBL3334555,OCCn1cc(cn1)c2cnc3nnn(Cc4cc5cccnc5[nH]4)c3n2,6.64
87,CHEMBL3334560,Cn1cc(cn1)c2cnc3nnn(Cc4cc5cnccc5s4)c3n2,7.96
88,CHEMBL3334550,OCCn1cc(cn1)c2cnc3nnn(Cc4ccc5nccn5c4)c3n2,7.48
89,CHEMBL3334570,C[C@H](c1ccn2nccc2c1)n3nnc4ncc(nc34)c5cnn(CCO)c5,7.57
90,CHEMBL3334562,N#Cc1ccc(cn1)c2cnc3nnn(Cc4n[nH]c5ncccc45)c3n2,7.51
91,CHEMBL3339359,COc1cc2c(Oc3ccc(CC(=O)N\N=C\c4ccc(OC(F)(F)F)cc4)cc3F)ccnc2cc1OCCCN5CCCC5,8.4
92,CHEMBL2385173,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(F)cc5Br)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCCC7,7.87
93,CHEMBL2385200,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccccc5C4=O)c6cc(C)ccc6C)cc3F)ccnc2cc1OCCCN7CCCC7,7.98
94,CHEMBL2402849,O[C@@H]1CC[C@H](CC1)n2cc(cn2)c3ccc4cn(Cc5ccc6ncccc6c5)nc4c3,6.24
95,CHEMBL2402847,OCCn1cc(cn1)c2ccc3cn(Cc4ccc5ncccc5c4)nc3c2,6.08
96,CHEMBL2402844,O[C@@H]1CC[C@H](CC1)n2cc(cn2)c3ccc4cnn(Cc5ccc6ncccc6c5)c4c3,6.19
97,CHEMBL574125,COc1cc2c(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3F)ccnc2cc1OCCCN6CCOCC6,7.3
98,CHEMBL2419647,COc1cc2c(Oc3ccc(NC(=S)N\N=C\c4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN5CCCCC5,8.28
99,CHEMBL3402762,CN1CCC(COc2cnc(nc2)c3cccc(CN4N=C(C=CC4=O)c5cccc(c5)C#N)c3)CC1,7.92
100,CHEMBL3402754,Cc1cnc(nc1)c2cccc(CN3N=C(C=CC3=O)c4cc(F)cc(F)c4)c2,7.4
102,CHEMBL2312301,COc1ccccc1CNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC4CCCC4)n2,5.35
103,CHEMBL254760,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2,7.3
104,CHEMBL448276,Fc1cc(NC(=O)N2CCN(C2=O)c3ccccc3)ccc1Oc4ccnc5cc(sc45)c6ccc(CN7CCNCC7)cc6,7.66
105,CHEMBL518676,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)N5CCN(C5=O)c6ccccc6)cc4F)c3s2,7.62
106,CHEMBL510973,Clc1cc(Cl)cc(c1)c2c([nH]c3ccc(nc23)C#N)c4ccncc4,5.59
107,CHEMBL492912,Clc1ccc(cc1)c2c([nH]c3ccc(nc23)C#N)c4ccncc4,5.0
108,CHEMBL503524,Fc1cc(NC(=O)N2CCN(C2=O)c3ccccc3)ccc1Oc4ccnc5cc(sc45)c6cn(CCN7CCCC7)cn6,6.5
110,CHEMBL2401819,C[C@@H](Oc1c(N)ncc2c(coc12)c3cnn(c3)C4CCN(CC4)C(=O)C)c5c(Cl)ccc(F)c5Cl,6.02
114,CHEMBL2401809,COc1ccc(Cl)c([C@@H](C)Oc2c(N)ncc3c(coc23)c4cnn(c4)C5CCNCC5)c1Cl,6.48
115,CHEMBL2401740,CCC(Oc1c(N)ncc2c(coc12)c3cnn(c3)C4CCNCC4)c5c(Cl)ccc(F)c5Cl,7.04
116,CHEMBL2401835,CC(Oc1c(N)ncc2c(coc12)c3cnn(c3)C4CCNCC4)c5c(Cl)cccc5Cl,6.66
117,CHEMBL2401818,Nc1ncc2c(coc2c1OC(CC#C)c3c(Cl)ccc(F)c3Cl)c4cnn(c4)C5CCNCC5,6.25
118,CHEMBL2401823,C[C@@H](Oc1c(N)ncc2c(coc12)c3cccnc3)c4c(Cl)ccc(F)c4Cl,6.28
119,CHEMBL496102,COc1ccc2c(OCc3nnc4ccc(nn34)c5ccccc5)ccnc2c1,8.05
120,CHEMBL567908,COc1ccc2c(OCc3nnc4ccc(nn34)c5cc(C)ns5)ccnc2c1,8.52
121,CHEMBL566683,COc1ccc2c(NCc3nnc4ccc(nn34)c5ccccc5)ccnc2c1,5.87
122,CHEMBL566875,COc1cnc2c(NCc3nnc4ccc(nn34)c5ccccc5)ccnc2c1,7.77
123,CHEMBL566242,COc1cnc2c(NCc3nnc4ccc(nn34)c5ccc(F)c(F)c5)ccnc2c1,8.05
124,CHEMBL1789964,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(c3)N(CC(C)C)C(=O)CCC4(C)C)ncc2Cl,6.67
125,CHEMBL1644806,CNC(=O)c1cccc(Cl)c1Nc2nc(Nc3ccc4NC(=O)CCC(C)(C)c4c3)ncc2Cl,5.78
126,CHEMBL1644812,CCN1C(=O)CCC(C)(C)c2ccc(Nc3ncc(Cl)c(Nc4c(F)cccc4C(=O)NC)n3)cc12,8.0
127,CHEMBL1644802,CN1C(=O)CCCc2cc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NCC#C)n3)ccc12,7.77
128,CHEMBL1644812,CCN1C(=O)CCC(C)(C)c2ccc(Nc3ncc(Cl)c(Nc4c(F)cccc4C(=O)NC)n3)cc12,7.36
129,CHEMBL1642140,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)OCCCN(C)C)ncc2Cl,7.55
130,CHEMBL1642142,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCN5CCCC5)CCCOc4c3)ncc2Cl,7.66
131,CHEMBL3334563,N#Cc1ccc(cn1)c2cnc3nnn(Cc4ccc5nccn5c4)c3n2,7.58
132,CHEMBL509101,Fc1ccc(cc1)N2C=CC=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O,8.74
133,CHEMBL503901,Fc1ccc(cc1)C2=CN(C=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O)c6ccc(Cl)c(F)c6,8.64
134,CHEMBL455386,Fc1ccc(cc1)C2=CN(C=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O)C6CC6,8.47
135,CHEMBL452306,NC(=O)c1ccc(cc1)N2C=CC=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O,6.0
136,CHEMBL3322565,COc1ccc(NC(=O)CC(=O)Nc2ccc3\C(=C\c4[nH]c(C)c(C(=O)O)c4C)\C(=O)Nc3c2)cc1,7.51
137,CHEMBL3309403,COc1cc2c(Oc3ccc(NC(=O)C4=NN(C(=O)c5ccccc45)c6cccc(F)c6)cc3F)ccnc2cc1OCCCN7CCCC7,8.37
138,CHEMBL3309410,COc1cc2c(Oc3ccc(NC(=O)C4=NN(C(=O)c5ccccc45)c6ccc(F)cc6)cc3F)ccnc2cc1OCCCN7CCN(C)CC7,8.7
139,CHEMBL3221109,[O-][N+](=O)c1cccc(CNc2cc(cc3ncc(cc23)N4CCN(CC4)C(=O)N5CCOCC5)C(F)(F)F)c1,8.29
